Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BTC,tradecount
1674604800000,2023-01-25,1INCHBTC,2.269e-05,2.565e-05,2.211e-05,2.307e-05,855976.1,20.07379876,8686
1674518400000,2023-01-24,1INCHBTC,2.331e-05,2.371e-05,2.211e-05,2.272e-05,289949.8,6.71228059,2020
1674432000000,2023-01-23,1INCHBTC,2.266e-05,2.415e-05,2.266e-05,2.336e-05,458097.0,10.71473784,4588
1674345600000,2023-01-22,1INCHBTC,2.201e-05,2.375e-05,2.185e-05,2.259e-05,383539.5,8.72452711,3495
1674259200000,2023-01-21,1INCHBTC,2.178e-05,2.27e-05,2.144e-05,2.201e-05,399611.7,8.8137015,3028
1674172800000,2023-01-20,1INCHBTC,2.199e-05,2.204e-05,2.127e-05,2.181e-05,235896.7,5.11312044,1235
1674086400000,2023-01-19,1INCHBTC,2.154e-05,2.292e-05,2.154e-05,2.197e-05,684241.3,15.10271029,4117
1674000000000,2023-01-18,1INCHBTC,2.27e-05,2.29e-05,2.124e-05,2.164e-05,416003.5,9.15601471,2266
1673913600000,2023-01-17,1INCHBTC,2.296e-05,2.328e-05,2.252e-05,2.268e-05,250997.4,5.73684104,1550
1673827200000,2023-01-16,1INCHBTC,2.394e-05,2.443e-05,2.273e-05,2.304e-05,464170.4,10.88664427,3721
1673740800000,2023-01-15,1INCHBTC,2.299e-05,2.412e-05,2.279e-05,2.393e-05,578071.0,13.57448698,2951
1673654400000,2023-01-14,1INCHBTC,2.338e-05,2.397e-05,2.206e-05,2.294e-05,1009788.0,23.226669,4326
1673568000000,2023-01-13,1INCHBTC,2.396e-05,2.413e-05,2.308e-05,2.335e-05,252688.4,5.98234095,1490
1673481600000,2023-01-12,1INCHBTC,2.429e-05,2.466e-05,2.363e-05,2.396e-05,365022.4,8.82792428,2331
1673395200000,2023-01-11,1INCHBTC,2.479e-05,2.482e-05,2.386e-05,2.43e-05,124202.1,3.009663,1168
1673308800000,2023-01-10,1INCHBTC,2.454e-05,2.531e-05,2.426e-05,2.478e-05,303129.0,7.5632729,2287
1673222400000,2023-01-09,1INCHBTC,2.39e-05,2.503e-05,2.373e-05,2.455e-05,223088.2,5.46042706,3678
1673136000000,2023-01-08,1INCHBTC,2.348e-05,2.42e-05,2.324e-05,2.388e-05,94801.9,2.25276449,3454
1673049600000,2023-01-07,1INCHBTC,2.339e-05,2.359e-05,2.329e-05,2.347e-05,64017.7,1.50110445,1203
1672963200000,2023-01-06,1INCHBTC,2.309e-05,2.348e-05,2.271e-05,2.336e-05,149290.2,3.42946806,910
1672876800000,2023-01-05,1INCHBTC,2.353e-05,2.393e-05,2.3e-05,2.311e-05,291391.9,6.8233496,2762
1672790400000,2023-01-04,1INCHBTC,2.318e-05,2.385e-05,2.304e-05,2.348e-05,93468.4,2.19467948,700
1672704000000,2023-01-03,1INCHBTC,2.371e-05,2.388e-05,2.299e-05,2.318e-05,95456.1,2.2330848,549
1672617600000,2023-01-02,1INCHBTC,2.328e-05,2.382e-05,2.289e-05,2.369e-05,224436.4,5.18880859,831
1672531200000,2023-01-01,1INCHBTC,2.321e-05,2.33e-05,2.3e-05,2.322e-05,37513.5,0.86659407,212
1672444800000,2022-12-31,1INCHBTC,2.269e-05,2.358e-05,2.254e-05,2.32e-05,86905.5,2.0220753,550
1672358400000,2022-12-30,1INCHBTC,2.29e-05,2.322e-05,2.252e-05,2.27e-05,73167.3,1.66962146,499
1672272000000,2022-12-29,1INCHBTC,2.326e-05,2.331e-05,2.258e-05,2.287e-05,135363.3,3.10517672,677
1672185600000,2022-12-28,1INCHBTC,2.397e-05,2.404e-05,2.306e-05,2.318e-05,129967.4,3.0352556,848
1672099200000,2022-12-27,1INCHBTC,2.401e-05,2.454e-05,2.358e-05,2.396e-05,171711.6,4.11537233,868
1672012800000,2022-12-26,1INCHBTC,2.369e-05,2.417e-05,2.357e-05,2.401e-05,58506.5,1.39588381,449
1671926400000,2022-12-25,1INCHBTC,2.38e-05,2.387e-05,2.328e-05,2.366e-05,61673.2,1.45396791,420
1671840000000,2022-12-24,1INCHBTC,2.365e-05,2.396e-05,2.365e-05,2.371e-05,54814.5,1.30515855,291
1671753600000,2022-12-23,1INCHBTC,2.365e-05,2.372e-05,2.328e-05,2.371e-05,63902.7,1.49768139,405
1671667200000,2022-12-22,1INCHBTC,2.363e-05,2.386e-05,2.334e-05,2.359e-05,50947.2,1.20353208,380
